Time,PR,BodyWeight
30,225,156
12,225,140
36,235,160
60,265,160
48,175,195
60,205,165
228,375,235
24,225,160
8,175,168
8,175,178
72,185,156
2,115,150
2,286,216
24,150,165
144,235,162
24,270,160
18,210,180
120,240,142
120,275,190
12,295,185
60,135,208
18,165,165
18,135,155
120,450,192
120,315,240
24,185,167
24,155,115
240,585,250
60,315,215
12,170,155
48,275,175
24,205,195
240,350,195
12,200,154
96,245,172
18,225,170
84,315,195
12,215,155
6,115,140
84,175,146
48,270,198
12,150,140
18,205,240
72,295,206
6,180,210
36,190,170
5,120,180
12,55,130
24,235,185
